month,state,city,operator,revenue_crore,ARPU,data_revenue_perc,voice_revenue_perc
2023-01,Maharashtra,Mumbai,Jio,13.44,181.24,73.3,26.97
2023-01,Maharashtra,Mumbai,Airtel,4.84,199.68,56.45,32.32
2023-01,Maharashtra,Mumbai,Vi,4.89,158.03,55.51,34.4
2023-01,Maharashtra,Mumbai,BSNL,1.08,99.97,59.55,18.67
2023-01,Maharashtra,Mumbai,MTNL,0.63,89.13,65.8,20.82
2023-01,Maharashtra,Pune,Jio,5.14,188.36,62.3,22.33
2023-01,Maharashtra,Pune,Airtel,11.55,208.68,59.99,25.28
2023-01,Maharashtra,Pune,Vi,1.78,157.77,70.19,18.41
2023-01,Maharashtra,Pune,BSNL,1.95,76.95,79.14,31.17
2023-01,Maharashtra,Pune,MTNL,0.32,89.14,72.11,23.8
2023-01,Maharashtra,Nagpur,Jio,8.31,173.66,55.86,33.19
2023-01,Maharashtra,Nagpur,Airtel,10.0,202.76,62.79,25.4
2023-01,Maharashtra,Nagpur,Vi,2.41,156.4,79.24,30.5
2023-01,Maharashtra,Nagpur,BSNL,2.51,103.18,69.95,33.44
2023-01,Maharashtra,Nagpur,MTNL,0.36,82.65,56.13,21.51
2023-01,Maharashtra,Nashik,Jio,6.34,181.66,75.72,22.14
2023-01,Maharashtra,Nashik,Airtel,8.82,203.43,58.52,31.04
2023-01,Maharashtra,Nashik,Vi,5.58,142.24,74.31,18.97
2023-01,Maharashtra,Nashik,BSNL,1.71,75.17,72.67,29.58
2023-01,Maharashtra,Nashik,MTNL,0.35,103.14,63.96,17.32
2023-01,Maharashtra,Aurangabad,Jio,10.82,195.89,63.27,16.27
2023-01,Maharashtra,Aurangabad,Airtel,6.66,204.33,73.24,27.75
2023-01,Maharashtra,Aurangabad,Vi,3.99,166.62,57.99,29.26
2023-01,Maharashtra,Aurangabad,BSNL,1.73,97.82,74.27,24.88
2023-01,Maharashtra,Aurangabad,MTNL,0.6,95.68,55.64,17.16
2023-01,Maharashtra,Solapur,Jio,9.57,170.94,62.86,25.17
2023-01,Maharashtra,Solapur,Airtel,6.41,222.23,65.26,30.11
2023-01,Maharashtra,Solapur,Vi,1.79,146.86,62.24,18.22
2023-01,Maharashtra,Solapur,BSNL,2.33,102.89,70.84,32.43
2023-01,Maharashtra,Solapur,MTNL,0.45,104.11,77.31,25.79
2023-01,Maharashtra,Amravati,Jio,13.79,194.22,62.95,17.2
2023-01,Maharashtra,Amravati,Airtel,7.6,201.84,75.45,32.21
2023-01,Maharashtra,Amravati,Vi,3.51,140.21,65.44,19.44
2023-01,Maharashtra,Amravati,BSNL,1.04,78.6,78.57,21.46
2023-01,Maharashtra,Amravati,MTNL,0.82,95.56,64.09,34.44
2023-01,Maharashtra,Kolhapur,Jio,6.72,198.87,67.43,21.02
2023-01,Maharashtra,Kolhapur,Airtel,3.73,203.55,70.24,25.05
2023-01,Maharashtra,Kolhapur,Vi,2.57,141.54,77.71,19.79
2023-01,Maharashtra,Kolhapur,BSNL,1.29,79.35,79.64,19.84
2023-01,Maharashtra,Kolhapur,MTNL,0.9,100.16,60.94,29.56
2023-01,Maharashtra,Thane,Jio,10.1,181.03,70.84,25.72
2023-01,Maharashtra,Thane,Airtel,11.44,197.71,63.02,18.73
2023-01,Maharashtra,Thane,Vi,3.88,141.22,71.94,15.33
2023-01,Maharashtra,Thane,BSNL,1.0,90.36,71.13,18.49
2023-01,Maharashtra,Thane,MTNL,0.6,100.73,78.42,17.75
2023-01,Maharashtra,Navi Mumbai,Jio,4.65,180.23,78.12,32.55
2023-01,Maharashtra,Navi Mumbai,Airtel,9.97,202.74,75.43,26.1
2023-01,Maharashtra,Navi Mumbai,Vi,2.66,155.89,57.33,32.94
2023-01,Maharashtra,Navi Mumbai,BSNL,1.95,102.01,63.48,21.98
2023-01,Maharashtra,Navi Mumbai,MTNL,1.03,101.78,77.18,30.6
2023-01,Karnataka,Bengaluru,Jio,2.9,189.26,59.04,32.97
2023-01,Karnataka,Bengaluru,Airtel,2.3,213.19,57.54,28.27
2023-01,Karnataka,Bengaluru,Vi,1.31,140.15,68.72,28.84
2023-01,Karnataka,Bengaluru,BSNL,0.66,94.56,72.8,19.74
2023-01,Karnataka,Bengaluru,MTNL,0.51,89.76,71.24,31.98
2023-01,Karnataka,Mysuru,Jio,6.29,189.73,57.34,22.35
2023-01,Karnataka,Mysuru,Airtel,3.69,202.96,79.33,22.86
2023-01,Karnataka,Mysuru,Vi,3.04,166.76,74.87,25.05
2023-01,Karnataka,Mysuru,BSNL,0.96,92.31,59.88,29.45
2023-01,Karnataka,Mysuru,MTNL,0.17,88.42,71.14,18.54
2023-01,Karnataka,Hubli,Jio,9.38,198.21,77.87,22.4
2023-01,Karnataka,Hubli,Airtel,7.77,195.46,65.7,34.33
2023-01,Karnataka,Hubli,Vi,3.79,168.91,62.36,22.7
2023-01,Karnataka,Hubli,BSNL,0.82,100.53,59.24,26.14
2023-01,Karnataka,Hubli,MTNL,0.58,108.08,69.25,16.94
2023-01,Karnataka,Mangaluru,Jio,9.17,188.45,58.5,25.37
2023-01,Karnataka,Mangaluru,Airtel,7.49,221.32,72.43,29.05
2023-01,Karnataka,Mangaluru,Vi,1.79,150.78,75.23,31.2
2023-01,Karnataka,Mangaluru,BSNL,1.59,101.01,67.78,25.03
2023-01,Karnataka,Mangaluru,MTNL,0.54,103.95,72.55,30.92
2023-01,Karnataka,Belagavi,Jio,4.85,196.7,64.39,16.88
2023-01,Karnataka,Belagavi,Airtel,2.47,212.35,66.64,25.85
2023-01,Karnataka,Belagavi,Vi,2.6,148.6,55.76,15.75
2023-01,Karnataka,Belagavi,BSNL,0.87,99.68,58.18,25.44
2023-01,Karnataka,Belagavi,MTNL,0.3,103.1,70.57,16.71
2023-01,Karnataka,Kalaburagi,Jio,5.45,171.55,68.52,27.75
2023-01,Karnataka,Kalaburagi,Airtel,8.94,216.78,67.91,21.46
2023-01,Karnataka,Kalaburagi,Vi,1.87,163.86,65.97,16.57
2023-01,Karnataka,Kalaburagi,BSNL,1.24,75.76,75.9,28.92
2023-01,Karnataka,Kalaburagi,MTNL,0.25,92.27,58.91,20.0
2023-01,Karnataka,Davanagere,Jio,7.18,186.48,71.5,20.6
2023-01,Karnataka,Davanagere,Airtel,7.55,223.65,68.86,27.23
2023-01,Karnataka,Davanagere,Vi,1.68,152.59,63.9,30.16
2023-01,Karnataka,Davanagere,BSNL,0.43,75.43,56.15,15.81
2023-01,Karnataka,Davanagere,MTNL,0.58,105.66,66.85,16.96
2023-01,Karnataka,Ballari,Jio,5.48,184.75,59.33,23.68
2023-01,Karnataka,Ballari,Airtel,6.19,206.96,70.88,15.91
2023-01,Karnataka,Ballari,Vi,2.74,151.24,67.58,32.13
