customer_id,state,operator,plan_type,tenure_months,monthly_charge,total_charges,internet_service,num_complaints,churn
C000000,Jammu & Kashmir,Jio,Postpaid,11,954.64,10501.07,4G,2,0
C000001,Andhra Pradesh,Jio,Prepaid,1,878.56,878.56,Fiber,2,0
C000002,Uttarakhand,Airtel,Prepaid,42,290.11,12184.42,Fiber,0,0
C000003,West Bengal,Jio,Prepaid,8,571.28,4570.25,4G,1,0
C000004,Jammu & Kashmir,Vi,Postpaid,3,361.93,1085.79,4G,1,0
C000005,Delhi,Airtel,Prepaid,5,561.81,2809.05,4G,1,0
C000006,Haryana,Jio,Prepaid,4,157.55,630.19,4G,4,0
C000007,Madhya Pradesh,Jio,Postpaid,13,208.83,2714.85,Fiber,1,0
C000008,Bihar,BSNL,Postpaid,7,417.16,2920.13,Fiber,1,0
C000009,Delhi,Airtel,Postpaid,4,971.63,3886.5,Fiber,5,1
C000010,Jharkhand,Jio,Postpaid,1,391.8,391.8,4G,1,0
C000011,Tamil Nadu,Jio,Prepaid,10,351.84,3518.41,3G,1,0
C000012,Tamil Nadu,BSNL,Prepaid,1,592.32,592.32,No Service,1,1
C000013,Telangana,Airtel,Postpaid,40,735.17,29406.86,4G,2,0
C000014,Bihar,Airtel,Postpaid,2,875.79,1751.59,Fiber,1,1
C000015,Himachal Pradesh,Airtel,Prepaid,8,391.66,3133.32,4G,3,0
C000016,Delhi,Airtel,Prepaid,29,783.71,22727.49,3G,2,0
C000017,Karnataka,Jio,Prepaid,13,121.88,1584.4,3G,0,1
C000018,Punjab,Jio,Prepaid,24,381.92,9166.09,3G,2,0
C000019,West Bengal,Vi,Postpaid,33,304.92,10062.31,No Service,0,0
C000020,Gujarat,Jio,Prepaid,4,935.73,3742.91,3G,4,0
C000021,Uttarakhand,Airtel,Postpaid,18,825.7,14862.53,3G,2,0
C000022,Andhra Pradesh,MTNL,Prepaid,13,501.13,6514.66,No Service,1,0
C000023,Tamil Nadu,Vi,Prepaid,12,298.9,3586.76,4G,0,0
C000024,Jammu & Kashmir,Jio,Postpaid,68,389.88,26512.02,Fiber,2,0
C000025,Punjab,Airtel,Postpaid,78,325.6,25397.12,3G,1,0
C000026,Jharkhand,BSNL,Prepaid,0,388.56,0.0,Fiber,1,1
C000027,Goa,BSNL,Postpaid,57,188.76,10759.51,3G,0,0
C000028,Uttar Pradesh,Jio,Prepaid,101,316.85,32001.82,No Service,2,0
C000029,Maharashtra,MTNL,Postpaid,11,400.85,4409.3,4G,2,0
C000030,Assam,BSNL,Postpaid,9,160.12,1441.08,4G,0,0
C000031,Gujarat,Airtel,Prepaid,27,113.93,3076.08,Fiber,1,0
C000032,Himachal Pradesh,Jio,Prepaid,4,720.84,2883.38,Fiber,2,1
C000033,Bihar,BSNL,Postpaid,2,558.73,1117.47,4G,2,0
C000034,Karnataka,Jio,Prepaid,19,575.69,10938.02,Fiber,1,0
C000035,Odisha,Vi,Prepaid,55,668.79,36783.52,4G,1,0
C000036,Goa,Airtel,Prepaid,54,897.38,48458.4,3G,2,0
C000037,Assam,BSNL,Postpaid,54,386.87,20891.07,4G,0,1
C000038,Jharkhand,Vi,Prepaid,26,103.56,2692.44,3G,0,0
C000039,Punjab,MTNL,Postpaid,28,411.46,11520.85,No Service,1,0
C000040,Assam,Airtel,Prepaid,9,770.84,6937.58,4G,3,1
C000041,Tamil Nadu,Jio,Prepaid,11,337.68,3714.5,4G,2,0
C000042,Maharashtra,Jio,Prepaid,23,814.33,18729.59,4G,2,0
C000043,Tamil Nadu,BSNL,Postpaid,30,211.02,6330.51,Fiber,0,0
C000044,Assam,Jio,Postpaid,4,945.41,3781.65,4G,3,0
C000045,Jharkhand,Jio,Postpaid,13,968.99,12596.86,4G,3,0
C000046,Odisha,Vi,Prepaid,9,251.54,2263.89,Fiber,3,1
C000047,Uttar Pradesh,Vi,Postpaid,22,990.05,21781.07,No Service,0,0
C000048,Haryana,Airtel,Prepaid,50,765.69,38284.59,Fiber,2,0
C000049,Karnataka,Airtel,Postpaid,39,828.1,32295.98,Fiber,3,0
C000050,Andhra Pradesh,Jio,Postpaid,25,730.77,18269.25,4G,3,1
C000051,Haryana,Jio,Postpaid,20,131.35,2626.96,4G,2,0
C000052,Tamil Nadu,Airtel,Prepaid,0,132.61,0.0,Fiber,2,0
C000053,Jammu & Kashmir,MTNL,Prepaid,35,175.94,6158.02,Fiber,1,1
C000054,Andhra Pradesh,Jio,Postpaid,18,585.57,10540.29,No Service,4,0
C000055,West Bengal,BSNL,Prepaid,7,296.44,2075.11,4G,0,1
C000056,Punjab,Jio,Postpaid,78,851.38,66407.8,3G,2,0
C000057,Delhi,Jio,Postpaid,6,593.3,3559.82,4G,2,0
C000058,West Bengal,Jio,Prepaid,32,597.92,19133.4,Fiber,2,0
C000059,Madhya Pradesh,Jio,Postpaid,34,111.95,3806.44,4G,0,1
C000060,Karnataka,MTNL,Prepaid,0,521.35,0.0,4G,2,0
C000061,Tamil Nadu,Airtel,Prepaid,15,254.88,3823.23,No Service,1,0
C000062,Uttar Pradesh,BSNL,Prepaid,24,83.86,2012.74,Fiber,2,0
C000063,Himachal Pradesh,Jio,Postpaid,25,245.64,6141.02,3G,0,0
C000064,West Bengal,Vi,Postpaid,0,626.2,0.0,4G,2,0
C000065,Telangana,Airtel,Postpaid,14,590.06,8260.77,No Service,4,1
C000066,Madhya Pradesh,BSNL,Prepaid,2,69.24,138.48,Fiber,0,0
C000067,Delhi,Airtel,Prepaid,1,386.08,386.08,Fiber,1,0
C000068,Jharkhand,Jio,Postpaid,7,205.35,1437.44,4G,5,0
C000069,Bihar,BSNL,Prepaid,33,495.09,16338.0,3G,2,0
