month,state,city,operator,call_drop_rate,avg_data_speed_mbps,tower_uptime_perc,latency_ms,complaints_per_1k
2023-01,Maharashtra,Mumbai,Jio,0.82,30.75,99.34,55.9,1.2
2023-01,Maharashtra,Mumbai,Airtel,0.59,30.29,99.62,56.1,3.69
2023-01,Maharashtra,Mumbai,Vi,1.21,20.85,98.3,32.7,1.32
2023-01,Maharashtra,Mumbai,BSNL,2.71,7.52,96.51,45.9,1.81
2023-01,Maharashtra,Mumbai,MTNL,2.67,7.7,96.68,42.0,2.55
2023-01,Maharashtra,Pune,Jio,1.07,27.0,99.21,55.5,0.71
2023-01,Maharashtra,Pune,Airtel,0.86,30.85,99.14,76.9,4.85
2023-01,Maharashtra,Pune,Vi,1.69,17.52,97.86,61.1,2.48
2023-01,Maharashtra,Pune,BSNL,2.67,8.48,96.22,74.6,1.66
2023-01,Maharashtra,Pune,MTNL,2.7,8.56,96.81,52.8,1.33
2023-01,Maharashtra,Nagpur,Jio,1.18,29.88,99.46,73.7,3.19
2023-01,Maharashtra,Nagpur,Airtel,1.05,30.44,99.22,22.7,1.96
2023-01,Maharashtra,Nagpur,Vi,1.43,17.36,98.3,41.4,1.76
2023-01,Maharashtra,Nagpur,BSNL,2.93,6.7,96.68,24.5,4.94
2023-01,Maharashtra,Nagpur,MTNL,2.76,7.99,96.5,68.9,3.68
2023-01,Maharashtra,Nashik,Jio,1.04,29.86,98.94,41.5,1.02
2023-01,Maharashtra,Nashik,Airtel,1.02,33.12,99.3,23.8,1.9
2023-01,Maharashtra,Nashik,Vi,1.4,19.65,98.18,73.2,2.62
2023-01,Maharashtra,Nashik,BSNL,2.67,9.57,96.66,53.7,3.97
2023-01,Maharashtra,Nashik,MTNL,2.6,9.61,96.76,21.5,0.99
2023-01,Maharashtra,Aurangabad,Jio,0.62,29.18,99.09,50.5,4.58
2023-01,Maharashtra,Aurangabad,Airtel,0.65,32.05,99.55,33.7,0.85
2023-01,Maharashtra,Aurangabad,Vi,1.37,16.81,98.36,68.5,3.35
2023-01,Maharashtra,Aurangabad,BSNL,3.12,10.02,96.31,73.6,2.93
2023-01,Maharashtra,Aurangabad,MTNL,2.78,11.48,96.69,26.6,1.53
2023-01,Maharashtra,Solapur,Jio,0.86,30.09,99.42,20.4,2.8
2023-01,Maharashtra,Solapur,Airtel,0.75,31.11,99.17,40.3,4.74
2023-01,Maharashtra,Solapur,Vi,1.39,18.59,98.22,41.8,4.87
2023-01,Maharashtra,Solapur,BSNL,3.18,7.26,96.5,38.1,1.78
2023-01,Maharashtra,Solapur,MTNL,2.32,10.05,96.8,23.1,1.75
2023-01,Maharashtra,Amravati,Jio,1.14,27.2,98.99,49.4,4.94
2023-01,Maharashtra,Amravati,Airtel,0.65,33.36,99.56,34.3,3.78
2023-01,Maharashtra,Amravati,Vi,1.42,19.16,98.18,52.1,0.91
2023-01,Maharashtra,Amravati,BSNL,3.1,7.6,96.31,22.4,3.16
2023-01,Maharashtra,Amravati,MTNL,2.71,7.08,96.81,33.6,3.4
2023-01,Maharashtra,Kolhapur,Jio,0.7,29.45,99.13,76.2,1.12
2023-01,Maharashtra,Kolhapur,Airtel,0.7,30.57,99.65,72.6,1.66
2023-01,Maharashtra,Kolhapur,Vi,1.6,20.09,98.13,51.8,1.59
2023-01,Maharashtra,Kolhapur,BSNL,2.66,10.49,96.74,58.0,2.03
2023-01,Maharashtra,Kolhapur,MTNL,2.51,10.63,97.04,73.2,4.01
2023-01,Maharashtra,Thane,Jio,0.99,26.42,99.0,73.9,3.23
2023-01,Maharashtra,Thane,Airtel,0.51,30.51,99.5,20.3,1.22
2023-01,Maharashtra,Thane,Vi,1.53,19.46,98.19,33.5,3.7
2023-01,Maharashtra,Thane,BSNL,2.74,7.63,96.65,59.0,4.32
2023-01,Maharashtra,Thane,MTNL,2.69,9.84,96.56,42.1,1.69
2023-01,Maharashtra,Navi Mumbai,Jio,0.75,30.87,99.14,73.5,3.34
2023-01,Maharashtra,Navi Mumbai,Airtel,0.98,32.51,99.45,49.6,1.38
2023-01,Maharashtra,Navi Mumbai,Vi,1.63,17.4,97.81,58.7,1.3
2023-01,Maharashtra,Navi Mumbai,BSNL,3.16,10.77,96.75,42.2,0.57
2023-01,Maharashtra,Navi Mumbai,MTNL,2.86,9.14,97.08,77.8,4.34
2023-01,Karnataka,Bengaluru,Jio,0.78,27.93,99.41,39.0,1.26
2023-01,Karnataka,Bengaluru,Airtel,0.83,34.68,99.52,54.2,0.94
2023-01,Karnataka,Bengaluru,Vi,1.57,20.95,97.88,51.1,4.45
2023-01,Karnataka,Bengaluru,BSNL,3.04,9.49,96.62,41.6,1.82
2023-01,Karnataka,Bengaluru,MTNL,2.79,11.05,97.02,74.8,2.8
2023-01,Karnataka,Mysuru,Jio,0.9,29.99,99.29,62.1,4.08
2023-01,Karnataka,Mysuru,Airtel,1.03,31.69,99.33,25.6,3.1
2023-01,Karnataka,Mysuru,Vi,1.22,18.33,98.13,37.2,3.16
2023-01,Karnataka,Mysuru,BSNL,2.62,6.19,96.69,41.6,1.07
2023-01,Karnataka,Mysuru,MTNL,2.61,10.85,96.63,57.4,0.88
2023-01,Karnataka,Hubli,Jio,0.63,28.66,99.22,58.2,3.77
2023-01,Karnataka,Hubli,Airtel,1.09,32.58,99.29,67.7,1.72
2023-01,Karnataka,Hubli,Vi,1.46,16.39,97.82,77.8,4.26
2023-01,Karnataka,Hubli,BSNL,3.02,8.04,96.3,29.4,1.63
2023-01,Karnataka,Hubli,MTNL,2.63,10.57,96.9,36.8,4.8
2023-01,Karnataka,Mangaluru,Jio,1.04,28.77,99.27,45.2,1.61
2023-01,Karnataka,Mangaluru,Airtel,0.71,33.79,99.11,27.0,0.71
2023-01,Karnataka,Mangaluru,Vi,1.22,20.28,98.22,48.5,0.94
2023-01,Karnataka,Mangaluru,BSNL,2.89,8.37,96.3,46.0,2.29
2023-01,Karnataka,Mangaluru,MTNL,2.67,10.18,96.53,42.5,3.32
2023-01,Karnataka,Belagavi,Jio,0.9,30.28,99.3,29.8,0.82
2023-01,Karnataka,Belagavi,Airtel,0.89,30.13,99.45,76.4,3.09
2023-01,Karnataka,Belagavi,Vi,1.43,19.22,98.07,52.7,4.74
2023-01,Karnataka,Belagavi,BSNL,2.83,10.81,96.74,31.7,0.81
2023-01,Karnataka,Belagavi,MTNL,2.36,7.09,96.56,61.0,0.82
2023-01,Karnataka,Kalaburagi,Jio,0.79,30.22,98.91,68.9,1.77
2023-01,Karnataka,Kalaburagi,Airtel,0.57,33.48,99.48,72.6,3.81
2023-01,Karnataka,Kalaburagi,Vi,1.68,17.41,97.91,65.0,4.13
2023-01,Karnataka,Kalaburagi,BSNL,3.19,8.06,96.42,66.6,2.03
2023-01,Karnataka,Kalaburagi,MTNL,2.86,11.29,96.76,65.1,3.9
2023-01,Karnataka,Davanagere,Jio,0.66,30.51,99.2,69.6,1.94
2023-01,Karnataka,Davanagere,Airtel,1.04,31.95,99.11,74.3,0.91
2023-01,Karnataka,Davanagere,Vi,1.39,20.75,98.37,54.4,3.34
2023-01,Karnataka,Davanagere,BSNL,2.87,7.47,96.4,60.4,3.89
2023-01,Karnataka,Davanagere,MTNL,2.77,10.95,96.55,49.7,0.76
2023-01,Karnataka,Ballari,Jio,0.93,28.21,99.43,41.1,1.03
2023-01,Karnataka,Ballari,Airtel,0.59,33.81,99.47,26.1,0.88
2023-01,Karnataka,Ballari,Vi,1.62,16.36,98.29,62.4,0.87
2023-01,Karnataka,Ballari,BSNL,2.65,10.93,96.42,42.2,4.16
2023-01,Karnataka,Ballari,MTNL,2.87,11.93,96.95,42.6,0.88
2023-01,Karnataka,Tumkur,Jio,1.07,28.79,99.15,74.4,1.0
2023-01,Karnataka,Tumkur,Airtel,0.8,30.06,99.38,23.4,1.03
2023-01,Karnataka,Tumkur,Vi,1.27,19.25,98.25,55.0,4.83
2023-01,Karnataka,Tumkur,BSNL,2.82,7.43,96.72,33.4,4.83
2023-01,Karnataka,Tumkur,MTNL,2.31,11.85,96.53,73.5,2.87
2023-01,Karnataka,Udupi,Jio,1.2,26.37,99.23,78.2,2.85
2023-01,Karnataka,Udupi,Airtel,0.88,33.48,99.37,57.7,3.13
2023-01,Karnataka,Udupi,Vi,1.74,16.23,97.97,77.0,4.51
2023-01,Karnataka,Udupi,BSNL,2.87,9.1,96.37,31.3,2.59
2023-01,Karnataka,Udupi,MTNL,2.51,9.92,96.55,78.5,4.94
2023-01,Tamil Nadu,Chennai,Jio,1.02,28.68,99.09,68.8,3.58
2023-01,Tamil Nadu,Chennai,Airtel,0.6,34.55,99.59,77.0,3.77
