month,state,city,operator,wireless_subs,wireline_subs,market_share_perc,mom_growth_perc
2023-01,Maharashtra,Mumbai,Jio,508692,14431,34.46,-0.23
2023-01,Maharashtra,Mumbai,Airtel,460716,7240,31.21,1.73
2023-01,Maharashtra,Mumbai,Vi,273241,3348,18.51,2.14
2023-01,Maharashtra,Mumbai,BSNL,176846,8407,11.98,-2.49
2023-01,Maharashtra,Mumbai,MTNL,56833,2823,3.85,1.51
2023-01,Maharashtra,Pune,Jio,1652598,40743,35.58,0.56
2023-01,Maharashtra,Pune,Airtel,1394815,57755,30.03,-1.2
2023-01,Maharashtra,Pune,Vi,870888,26622,18.75,1.3
2023-01,Maharashtra,Pune,BSNL,518352,6146,11.16,1.45
2023-01,Maharashtra,Pune,MTNL,207619,3492,4.47,-2.08
2023-01,Maharashtra,Nagpur,Jio,2750876,102691,36.35,1.56
2023-01,Maharashtra,Nagpur,Airtel,2318001,100433,30.63,-1.37
2023-01,Maharashtra,Nagpur,Vi,1293328,33164,17.09,-1.37
2023-01,Maharashtra,Nagpur,BSNL,874831,35180,11.56,0.26
2023-01,Maharashtra,Nagpur,MTNL,329953,6043,4.36,1.19
2023-01,Maharashtra,Nashik,Jio,618716,20304,34.51,0.99
2023-01,Maharashtra,Nashik,Airtel,527101,25536,29.4,2.99
2023-01,Maharashtra,Nashik,Vi,342257,13653,19.09,0.96
2023-01,Maharashtra,Nashik,BSNL,225183,7536,12.56,3.77
2023-01,Maharashtra,Nashik,MTNL,79603,2728,4.44,-0.71
2023-01,Maharashtra,Aurangabad,Jio,1050748,44781,34.2,2.19
2023-01,Maharashtra,Aurangabad,Airtel,980084,38380,31.9,2.51
2023-01,Maharashtra,Aurangabad,Vi,586207,7598,19.08,-0.22
2023-01,Maharashtra,Aurangabad,BSNL,345641,5058,11.25,3.11
2023-01,Maharashtra,Aurangabad,MTNL,109683,3831,3.57,-0.35
2023-01,Maharashtra,Solapur,Jio,453369,19928,34.98,2.29
2023-01,Maharashtra,Solapur,Airtel,376900,7326,29.08,-0.84
